Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
40,611,6.375,201198.86,SDQ,8.7,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,57.418470146,525.67,169.53,538.67,R,6.375,360,1
49,652,5.875,127512.32,CUR,9.5,2010Q3,-0.01745,-0.16667,-1.73%,-0.2,0.00735,1.00737,3.18%,2.98%,0.0073181624,78.976297187,579.67,184.63,574.00,B,5.875,360,2
49,652,5.875,126613.24,DEL,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,80.117440332,582.33,195.90,567.00,B,5.875,360,2
49,652,5.875,126314.27,CUR,9.1,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,80.000269688,574.33,203.70,611.67,B,5.875,360,2
31,638,5.375,70049.92,CUR,7.5,2013Q2,-0.02620,-0.20000,-8.13%,-0.066666667,0.00123,1.00123,1.26%,0.49%,0.001232444,69.884961047,868.00,203.97,985.67,R,5.375,360,2
31,638,5.375,67618.04,DEL,5,2015Q3,-0.06331,-0.33333,-15.93%,-0.1,0.00330,1.00331,2.44%,1.33%,0.003295669,59.835850399,"1,166.67",191.63,"1,149.00",R,5.375,360,2
31,638,5.375,67425.95,DEL,5,2015Q4,-0.01316,-0.06667,-11.70%,-0.333333333,0.00033,1.00033,1.90%,0.13%,0.0003251492,58.736407972,"1,125.33",185.57,"1,204.00",R,5.375,360,2
31,638,5.375,67232.14,CUR,5,2016Q1,-0.02007,-0.10000,-10.84%,-0.066666667,0.00502,1.00503,1.62%,2.03%,0.0050087034,58.027707784,"1,140.00",182.00,"1,157.33",R,5.375,360,2
31,638,3.875,67732.42,DEL,4.3,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,54.679158574,"1,172.00",193.13,"1,263.33",R,5.375,360,2
31,638,3.875,67607.46,CUR,4.2,2017Q3,-0.01538,-0.06667,-12.24%,-0.2,0.00788,1.00791,2.42%,3.20%,0.0078459297,53.663076295,"1,181.33",194.03,"1,277.00",R,5.375,360,2
31,638,3.875,66775.28,CUR,3.7,2018Q3,-0.04330,-0.16667,-12.40%,-0.133333333,0.00721,1.00724,3.13%,2.93%,0.0071844879,50.256028861,"1,240.33",203.77,"1,293.00",R,5.375,360,2
61,655,5.875,220032.89,CUR,9.9,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,77.42913261,618.00,182.07,657.67,C,5.875,360,1
61,655,5.875,215176.1,CUR,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,78.897983852,582.33,195.90,567.00,C,5.875,360,1
61,655,5.875,209479.13,CUR,8.2,2012Q1,-0.04340,-0.36667,-8.49%,-0.366666667,0.00780,1.00783,2.65%,3.17%,0.0077690962,77.965356236,707.33,202.17,752.00,C,5.875,360,1
61,655,5.875,201015.76,CUR,7.5,2013Q2,-0.02620,-0.20000,-8.13%,-0.066666667,0.00123,1.00123,1.26%,0.49%,0.001232444,66.908943066,868.00,203.97,985.67,C,5.875,360,1
61,655,5.875,197836.71,DEL,6.7,2013Q4,-0.04236,-0.30000,-11.11%,-0.3,0.00795,1.00798,2.61%,3.23%,0.0079192739,63.072676128,"1,009.00",201.90,"1,026.00",C,5.875,360,1
61,655,5.875,196955.99,CUR,6.7,2014Q1,-0.03922,-0.26667,-13.79%,-0.3,-0.00283,0.99717,1.43%,-1.13%,-0.002835067,61.977682984,934.00,205.50,"1,027.33",C,5.875,360,1
42,666,4.5,80437.89,CUR,5.4,2015Q1,-0.02968,-0.16667,-17.00%,-0.366666667,0.00782,1.00785,3.98%,3.18%,0.0077870859,64.94719006,977.00,191.53,"1,084.33",B,4.5,360,1
41,582,6,4158.01,PPY,8.5,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,4.2103696076,671.67,200.77,691.33,R,6,180,1
39,587,7.375,,DEL,8.3,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,75.989708039,525.67,169.53,538.67,C,7.375,360,2
39,587,7.375,341678.87,DEL,9.4,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,76.885510697,534.33,171.33,559.33,C,7.375,360,2
