Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
40,685,5.25,101948.82,CUR,5.6,2014Q4,-0.06234,-0.36667,-17.79%,-0.133333333,0.00561,1.00563,2.88%,2.27%,0.005596441,69.746039012,"1,049.33",200.43,"1,074.33",C,5.25,360,1
45,709,4.875,92590.12,CUR,5,2016Q3,0.00000,0.00000,-3.92%,-0.033333333,0.00541,1.00542,1.56%,2.19%,0.0053936623,55.332808008,"1,157.33",187.07,"1,226.00",R,4.875,360,3
35,696,4.625,361531.89,CUR,7.7,2013Q1,-0.00858,-0.06667,-6.45%,-0.233333333,0.00882,1.00886,1.57%,3.59%,0.0087789975,53.061562708,953.33,203.60,952.00,B,4.625,360,2
64,702,6.5,228776.64,CUR,7.7,2013Q1,-0.00858,-0.06667,-6.45%,-0.233333333,0.00882,1.00886,1.57%,3.59%,0.0087789975,88.408185592,953.33,203.60,952.00,C,6.5,360,2
64,702,6.5,220513.93,CUR,5.8,2014Q4,-0.06234,-0.36667,-17.79%,-0.133333333,0.00561,1.00563,2.88%,2.27%,0.005596441,75.249418632,"1,049.33",200.43,"1,074.33",C,6.5,360,2
41,766,2.875,,CUR,7.5,2013Q2,-0.02620,-0.20000,-8.13%,-0.066666667,0.00123,1.00123,1.26%,0.49%,0.001232444,76.180594285,868.00,203.97,985.67,C,2.875,180,1
37,778,3.875,86179.17,CUR,7.5,2013Q2,-0.02620,-0.20000,-8.13%,-0.066666667,0.00123,1.00123,1.26%,0.49%,0.001232444,23.854366032,868.00,203.97,985.67,R,3.875,180,1
18,698,4.875,125997.69,CUR,4.1,2017Q4,-0.03953,-0.16667,-13.29%,-0.066666667,0.00871,1.00875,2.80%,3.55%,0.0086727418,65.990728345,"1,251.67",195.70,"1,316.67",C,4.875,360,1
37,773,4.25,263377.25,DEL,4.1,2018Q1,-0.01626,-0.06667,-10.95%,-0.166666667,0.00630,1.00632,2.86%,2.55%,0.0062798788,69.236211006,"1,312.33",198.83,"1,370.67",C,4.25,360,1
37,773,4.25,261918.79,DEL,3.8,2018Q2,-0.03334,-0.13333,-9.92%,-0.066666667,0.00863,1.00867,3.20%,3.51%,0.0085966147,68.059149416,"1,264.33",202.57,"1,344.67",C,4.25,360,1
37,773,4.25,260444.79,DEL,3.8,2018Q3,-0.04330,-0.16667,-12.40%,-0.133333333,0.00721,1.00724,3.13%,2.93%,0.0071844879,66.996867226,"1,240.33",203.77,"1,293.00",C,4.25,360,1
37,773,4.25,258955.07,DEL,3.7,2018Q4,0.00881,0.03333,-8.06%,-0.166666667,0.00271,1.00271,2.52%,1.09%,0.002705985,65.990815398,"1,176.00",202.63,"1,306.67",C,4.25,360,1
37,773,4.25,257449.45,DEL,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,65.181501406,"1,204.00",199.70,"1,316.00",C,4.25,360,1
39,769,6.25,107015.28,CUR,6.7,2013Q4,-0.04236,-0.30000,-11.11%,-0.3,0.00795,1.00798,2.61%,3.23%,0.0079192739,81.464772168,"1,009.00",201.90,"1,026.00",B,6.25,360,1
50,676,5.125,285501.8,CUR,7.3,2008Q4,0.13492,0.86667,43.06%,0.6666666667,-0.02188,0.97836,-2.75%,-8.38%,-0.022116676,105.16271518,663.00,178.03,638.67,C,5.125,360,2
50,676,5.125,283378.28,DEL,9.5,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,108.27678341,534.33,171.33,559.33,C,5.125,360,2
50,676,5.125,282295.99,DEL,9.8,2009Q3,0.03521,0.33333,60.56%,1.0333333333,0.00363,1.00364,-3.05%,1.46%,0.0036279014,107.91425605,588.33,173.87,606.67,C,5.125,360,2
50,676,5.125,281199.77,DEL,9.9,2009Q4,0.03067,0.30000,44.66%,0.3333333333,0.01092,1.01098,0.18%,4.47%,0.010864507,107.56059769,567.67,176.90,623.33,C,5.125,360,2
50,676,5.125,280461.13,DEL,9.9,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,108.80643589,618.00,182.07,657.67,C,5.125,360,2
37,801,6,,CUR,8.7,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,79.824384863,525.67,169.53,538.67,C,6,360,1
37,801,6,231791.42,CUR,9.9,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,80.250815445,618.00,182.07,657.67,C,6,360,1
37,801,6,230428.5,CUR,9.5,2010Q3,-0.01745,-0.16667,-1.73%,-0.2,0.00735,1.00737,3.18%,2.98%,0.0073181624,81.365453705,579.67,184.63,574.00,C,6,360,1
37,801,6,227531.94,DEL,9.1,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,82.156256389,574.33,203.70,611.67,C,6,360,1
37,801,6,226714.02,CUR,9,2011Q3,-0.00738,-0.06667,-4.93%,0.0333333333,-0.00028,0.99972,0.95%,-0.11%,-0.000277864,82.56522342,619.33,203.83,626.00,C,6,360,1
37,801,6,225604.25,DEL,8.2,2012Q1,-0.04340,-0.36667,-8.49%,-0.366666667,0.00780,1.00783,2.65%,3.17%,0.0077690962,82.612067198,707.33,202.17,752.00,C,6,360,1
37,801,6,224757.28,DEL,8.2,2012Q2,-0.00810,-0.06667,-9.56%,-0.366666667,0.00429,1.00430,2.36%,1.73%,0.0042835871,80.480538735,739.33,201.80,774.00,C,6,360,1
37,801,6,223608.09,DEL,7.8,2012Q3,-0.02053,-0.16667,-10.74%,-0.066666667,0.00135,1.00135,2.53%,0.54%,0.0013476634,79.015145725,780.33,202.40,873.00,C,6,360,1
37,801,6,222253.62,DEL,7.9,2012Q4,-0.02948,-0.23333,-9.65%,-0.166666667,0.00114,1.00114,1.47%,0.46%,0.0011374372,77.133729654,908.00,202.27,915.00,C,6,360,1
37,801,6,221356.13,CUR,7.5,2013Q1,-0.00858,-0.06667,-6.45%,-0.233333333,0.00882,1.00886,1.57%,3.59%,0.0087789975,74.541545411,953.33,203.60,952.00,C,6,360,1
37,801,6,219520.36,DEL,7.2,2013Q3,-0.04064,-0.30000,-9.96%,-0.2,0.00780,1.00783,1.92%,3.17%,0.0077732548,70.057457851,882.33,204.17,988.33,C,6,360,1
37,801,6,218581.67,DEL,6.7,2013Q4,-0.04236,-0.30000,-11.11%,-0.3,0.00795,1.00798,2.61%,3.23%,0.0079192739,68.561991446,"1,009.00",201.90,"1,026.00",C,6,360,1
37,801,6,217628.83,DEL,6.7,2014Q1,-0.03922,-0.26667,-13.79%,-0.3,-0.00283,0.99717,1.43%,-1.13%,-0.002835067,67.377962962,934.00,205.50,"1,027.33",C,6,360,1
37,801,6,216661.62,CUR,6.1,2014Q2,-0.07257,-0.46667,-17.70%,-0.266666667,0.01345,1.01354,2.67%,5.53%,0.0133560154,66.688870096,987.00,208.20,"1,039.33",C,6,360,1
37,801,6,214683.25,CUR,5.6,2014Q4,-0.06234,-0.36667,-17.79%,-0.133333333,0.00561,1.00563,2.88%,2.27%,0.005596441,64.500648397,"1,049.33",200.43,"1,074.33",C,6,360,1
40,791,4.875,230082.19,DEL,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,81.441433344,582.33,195.90,567.00,R,4.875,360,2
40,791,4.875,229452.47,SDQ,9,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,81.482103682,574.33,203.70,611.67,R,4.875,360,2
64,746,5.5,368037.49,DEL,9.6,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,99.712343845,602.00,184.23,599.67,C,5.5,360,2
64,746,5.5,367071.06,CUR,9.5,2010Q3,-0.01745,-0.16667,-1.73%,-0.2,0.00735,1.00737,3.18%,2.98%,0.0073181624,101.16572114,579.67,184.63,574.00,C,5.5,360,2
43,770,4.375,96554.02,CUR,4.4,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,45.586867898,"1,172.00",193.13,"1,263.33",R,4.375,360,2
