curr_stat,yqtr,CUR,PPY,SDQ,DEL
PPY,2018Q3,0,1,0,0
SDQ,2018Q3,0,0,1,0
CUR,2018Q4,0.9825901679,0.0159057657,0.0000151931,0.0014888733
DEL,2018Q4,0.5672033407,0.0467470959,0.0418570678,0.3441924957
PPY,2018Q4,0,1,0,0
SDQ,2018Q4,0,0,1,0
CUR,2019Q1,0.977567263,0.020691867,0.0000632428,0.0016776272
DEL,2019Q1,0.5575743225,0.0479095377,0.038406732,0.3561094078
PPY,2019Q1,0,1,0,0
SDQ,2019Q1,0,0,1,0
CUR,2019Q2,0.9702111328,0.0278185003,0.0000339052,0.0019364617
DEL,2019Q2,0.562664467,0.0443674098,0.0365411758,0.3564269474
PPY,2019Q2,0,1,0,0
SDQ,2019Q2,0,0,1,0
CUR,2019Q3,0.9651236453,0.0324982726,0.0000994093,0.0022786727
DEL,2019Q3,0.5566935597,0.0468552368,0.0359471206,0.3605040829
PPY,2019Q3,0,1,0,0
SDQ,2019Q3,0,0,1,0
CUR,2019Q4,0.9691951974,0.0285278894,0.0001635315,0.0021133817
DEL,2019Q4,0.5462205709,0.0474514703,0.0370854176,0.3692425412
PPY,2019Q4,0,1,0,0
SDQ,2019Q4,0,0,1,0
